State         , District                             , Description                                                                 , Date
South Carolina, South Carolina                       , "S.C., special municipal general elections"                                 , 2025-04-01
Alaska        , Anchorage                            , Anchorage general election                                                  , 2025-04-01
Alabama       , Tuscaloosa City Schools              , Tuscaloosa City Schools general runoff election                             , 2025-04-01
Florida       , Florida                              , Florida municipal elections                                                 , 2025-04-01
Colorado      , Colorado Springs                     , Colorado Springs general election                                           , 2025-04-01
Illinois      , Illinois                             , Illinois statewide municipal general election                               , 2025-04-01
Nebraska      , Omaha                                , Omaha primary election                                                      , 2025-04-01
Delaware      , Blades                               , "Local election in the town of Blades, Delaware"                            , 2025-04-07
Missouri      , North Kansas City Schools            , North Kansas City Schools general election                                  , 2025-04-08
Kansas        , Haysville Unified School District 261, "Haysville Unified School District, Kansas, special ballot measure election", 2025-04-08
Georgia       , Bowman                               , Recall election                                                             , 2025-04-08
